pl_name
"HD 4313 b"
"HD 330075 b"
"HD 31253 b"
"HD 31527 b"
"MASCARA-1 b"
"HD 206893 b"
"Kepler-11 c"
"KELT-20 b"
"Kepler-68 b"
"HD 158259 b"
"LP 890-9 c"
"Kepler-10 d"
"Kepler-103 c"
"Kepler-334 b"
"Kepler-134 c"
"Kepler-68 c"
"HD 40307 b"
"TOI-2107 b"
"HIP 54597 b"
"TOI-559 b"
"HD 134606 d"
"HD 12661 b"
"HD 4203 b"
"CoRoT-13 b"
"Kepler-126 b"
"Kepler-716 b"
"HD 122562 c"
"Kepler-773 b"
"HD 49674 b"
"30 Ari B b"
"HD 62509 b"
"HD 208527 b"
"HD 167768 b"
"Kepler-720 b"
"rho CrB d"
"TOI-3362 b"
"47 UMa c"
"BD-11 4672 b"
"HATS-44 b"
"rho CrB b"
"HD 110067 f"
"HD 110067 g"
"2MASS J01033563-5515561 AB b"
"Kepler-167 d"
"HD 7199 b"
"KOI-55 c"
"HD 75898 b"
"HD 79498 b"
"Kepler-751 b"
"Kepler-1930 b"
"Kepler-1725 b"
"Kepler-1883 b"
"Kepler-1887 b"
"Kepler-633 c"
"Kepler-1907 c"
"6 Lyn b"
"Kepler-782 b"
"HD 77338 b"
"GJ 3021 b"
"GJ 3634 b"
"GJ 674 b"
"HD 37605 c"
"WASP-39 b"
"GJ 3470 b"
"HD 189567 b"
"HD 96700 c"
"HD 155918 c"
"HD 190647 b"
"BD+15 2940 b"
"Kepler-495 b"
"Kepler-123 b"
"HD 200964 c"
"HD 206610 b"
"KMT-2021-BLG-1898L b"
"8 UMi b"
"Kepler-166 c"
"HATS-54 b"
"KMT-2019-BLG-0414L b"
"Kepler-11 b"
"HD 100655 b"
"HD 210277 b"
"HD 21693 b"
"HD 10180 f"
"HD 10180 g"
"HAT-P-30 b"
"WASP-79 b"
"HIP 116454 b"
"L 98-59 b"
"L 98-59 c"
"L 98-59 d"
"AU Mic b"
"HIP 67522 b"
"GJ 486 b"
"AU Mic c"
"L 98-59 e"
"TOI-2714 b"
"TOI-2981 b"
"TOI-4562 b"
"TOI-4914 b"
"AU Mic d"
"TOI-4562 c"
"HIP 67522 c"
"WASP-121 b"
"WASP-77 A b"
"Kepler-396 b"
"HAT-P-52 b"
"TOI-700 c"
"HD 176986 c"
"GJ 15 A b"
"HD 143361 b"
"TOI-2373 b"
"pi Men d"
"WASP-52 b"
"WASP-160 B b"
"WASP-61 b"
"GJ 3998 b"
"GJ 3293 c"
"GJ 3929 c"
"HD 16417 b"
"OGLE-2014-BLG-0124L b"
"TOI-2421 b"
"Kepler-167 b"
"Kepler-51 c"
"Kepler-106 b"
"HD 114082 b"
"HD 110113 b"
"TOI-238 b"
"MASCARA-4 b"
"MWC 758 c"
"TOI-1194 b"
"TOI-1062 b"
"TOI-431 d"
"LHS 1140 b"
"TOI-5126 c"
"HD 169830 c"
"HD 167677 b"
"KMT-2021-BLG-2010L b"
"KMT-2022-BLG-1013L b"
"HATS-74 A b"
"Kepler-102 e"
"OGLE-2017-BLG-0173L b"
"WASP-4 b"
"HD 1605 c"
"Kepler-265 c"
"HD 134606 c"
"HD 9174 b"
"HD 32518 b"
"HD 136352 c"
"Qatar-8 b"
"TOI-201 b"
"Kepler-756 b"
"HD 165155 b"
"OGLE-2017-BLG-1140L b"
"HATS-8 b"
"HD 180617 b"
"LTT 3780 c"
"HD 219134 h"
"LHS 3844 b"
"Kepler-422 b"
"HAT-P-23 b"
"WASP-38 b"
"WASP-41 b"
"TOI-1266 c"
"HATS-49 b"
"HATS-4 b"
"WASP-60 b"
"HD 136352 d"
"HAT-P-17 b"
"TOI-1294 b"
"TOI-1062 c"
"KELT-9 b"
"TOI-1173 b"
"TOI-421 b"
"HAT-P-27 b"
"HAT-P-50 b"
"WASP-88 b"
"Kepler-145 b"
"TOI-125 d"
"HD 25015 b"
"HD 220689 b"
"HD 23596 b"
"KMT-2018-BLG-1743L b"
"HATS-53 b"
"TOI-5174 b"
"KELT-14 b"
"OGLE-2019-BLG-0304L b"
"GJ 3138 b"
"HD 148164 b"
"HD 24064 b"
"KMT-2017-BLG-0165L b"
"BD-06 1339 b"
"Kepler-93 b"
"XO-4 b"
"Kepler-506 b"
"WASP-69 b"
"GJ 1132 b"
"GJ 1132 c"
"WASP-50 b"
"WASP-8 b"
"2MASS J11011926-7732383 b"
"WASP-72 b"
"WASP-192 b"
"TOI-2266 b"
"HD 66428 b"
"HD 70642 b"
"LkCa 15 c"
"MXB 1658-298 b"
"MOA-2016-BLG-319L b"
"MOA-2011-BLG-291L b"
"HIP 91258 b"
"BD+15 2375 b"
"CoRoT-21 b"
"HD 14787 b"
"NGC 2682 YBP 1514 b"
"GJ 1148 c"
"TOI-431 c"
"CoRoT-26 b"
"HAT-P-44 c"
"Kepler-1099 b"
"HAT-P-17 c"
"HATS-65 b"
"KOI-13 b"
"Kepler-186 e"
"Kepler-167 e"
"HD 92788 b"
"HD 202772 A b"
"WASP-177 b"
"KELT-19 A b"
"KOI-94 e"
"bet Cnc b"
"mu Leo b"
"HD 30562 b"
"HD 125271 b"
"Kepler-1647 b"
"HD 111591 b"
"Kepler-80 g"
"Kepler-419 c"
"HD 109988 b"
"Teegarden's Star d"
"Kepler-30 c"
"HD 112640 b"
"Kepler-121 c"
"Kepler-1130 c"
"Kepler-411 b"
"Kepler-11 g"
"Kepler-1048 b"
"KMT-2017-BLG-0673L b"
"TOI-784 b"
"rho CrB e"
"Kepler-821 b"
"Kepler-820 b"
"Kepler-162 b"
"Kepler-183 b"
"2MASS J02192210-3925225 b"
"Kepler-1009 b"
"Kepler-819 b"
"Kepler-811 b"
"Kepler-286 b"
"Kepler-214 b"
"Kepler-232 c"
"Kepler-961 b"
"Kepler-985 b"
"Kepler-804 b"
"Kepler-330 c"
"Kepler-732 c"
"Kepler-1019 b"
"HD 89744 b"
"Kepler-842 b"
"Kepler-10 b"
"Kepler-279 c"
"Kepler-791 b"
"Kepler-786 b"
"Kepler-465 b"
"Kepler-960 b"
"TOI-2196 b"
"HIP 21152 b"
"Kepler-93 c"
"WASP-62 b"
"HATS-64 b"
"HATS-67 b"
"KMT-2019-BLG-1339L b"
"Kepler-82 e"
"Kepler-247 b"
"Kepler-42 d"
"Kepler-1073 c"
"Kepler-1041 b"
"Kepler-1315 b"
"Kepler-1530 c"
"Kepler-458 c"
"Kepler-962 b"
"Kepler-1666 b"
"Kepler-303 b"
"Kepler-916 b"
"KOI-1783.01"
"Kepler-197 e"
"HATS-25 b"
"HD 42813 b"
"WASP-132 c"
"TOI-3757 b"
"WASP-36 b"
"WASP-15 b"
"WASP-5 b"
"HATS-24 b"
"HATS-30 b"
"TOI-216.01"
"TOI-257 b"
"LP 714-47 b"
"TOI-4153 b"
"WASP-139 b"
"HD 15337 c"
"WASP-132 b"
"TOI-4379 b"
"TOI-558 b"
"WASP-126 b"
"TOI-532 b"
"WASP-53 b"
"LHS 1678 c"
"TOI-2411 b"
"TOI-220 b"
"TOI-139 b"
"TOI-406.01"
"TOI-216.02"
"TOI-3540 A b"
"NGTS-6 b"
"LHS 1678 d"
